JSE Code,Share,Price,Move,Move%,Marketcap
BHG,BHP,580.73,-2.36,-0.4,"2,943,570,000,000"
PRX,PROSUS,578.53,-1.07,-0.18,"2,334,070,000,000"
ANH,AB INBEV,"1,166.47",-6.08,-0.52,"2,026,390,000,000"
CFR,RICHEMONT,"2,800.00",163,6.18,"1,505,230,000,000"
GLN,GLENCORE,101.6,1.23,1.23,"1,376,680,000,000"
BTI,BATS,559.06,9.04,1.64,"1,373,560,000,000"
AGL,ANGLO,449.22,11.46,2.62,"600,870,000,000"
NPN,NASPERS-N,"3,215.54",43.04,1.36,"585,460,000,000"
FSR,FIRSTRAND,68.95,1.45,2.15,"386,770,000,000"
SBK,STANBANK,202.1,4.6,2.33,"338,670,000,000"
GFI,GFIELDS,268.79,6.93,2.65,"240,170,000,000"
CPI,CAPITEC,"2,050.00",0,0,"238,000,000,000"
AMS,AMPLATS,841.5,-6.87,-0.81,"223,240,000,000"
VOD,VODACOM,100.29,0.26,0.26,"208,390,000,000"
MTN,MTN GROUP,104.34,3.2,3.16,"196,600,000,000"
KIO,KUMBA,586.14,24.92,4.44,"188,790,000,000"
S32,SOUTH32,41.6,0.34,0.82,"188,420,000,000"
MNP,MONDIPLC,354.88,6.29,1.8,"172,310,000,000"
SHP,SHOPRIT,266.12,-0.86,-0.32,"157,370,000,000"
SLM,SANLAM,71.15,0.03,0.04,"156,740,000,000"
BID,BIDCORP,447.28,10.32,2.36,"150,020,000,000"
ABG,ABSA,163.98,4.79,3.01,"146,660,000,000"
ANG,ANGGOLD,333.85,4.33,1.31,"140,130,000,000"
NED,NEDBANK,217.3,4.26,2,"106,070,000,000"
SOL,SASOL,162,0.1,0.06,"103,460,000,000"
RNI,REINET,468.69,3.36,0.72,"91,840,000,000"
DSY,DISCOVERY,135.79,1.35,1,"91,840,000,000"
APN,ASPEN,200.76,6.91,3.56,"89,590,000,000"
INP,INVPLC,121.08,0.11,0.09,"84,280,000,000"
BVT,BIDVEST,245.7,-0.56,-0.23,"83,610,000,000"
REM,REMGRO,155.91,2.73,1.78,"82,510,000,000"
NRP,NEPIROCK,123.4,0.21,0.17,"81,550,000,000"
HAR,HARMONY,121.05,1.43,1.2,"75,050,000,000"
PPH,PEPKORH,19.53,-0.25,-1.26,"71,620,000,000"
CLS,CLICKS,300,2.22,0.75,"71,420,000,000"
WHL,WOOLIES,70.16,0.32,0.46,"69,370,000,000"
IMP,IMPLATS,75,-1.2,-1.57,"67,830,000,000"
EXX,EXXARO,190,0.87,0.46,"66,370,000,000"
OUT,OUTSURE,42.5,0.69,1.65,"65,170,000,000"
SSW,SIBANYE-S,22.7,0.13,0.58,"64,250,000,000"
